,img1,img2,distance
0,affinis.png,affinis.png,[0.]
1,appositus.png,affinis.png,[0.03940386]
2,auricomus1.png,affinis.png,[0.01405618]
3,auricomus.png,affinis.png,[0.01548728]
4,balteatus1.png,affinis.png,[0.03240153]
5,balteatus2.png,affinis.png,[0.01336318]
6,balteatus.png,affinis.png,[0.03181748]
7,bifarius1.png,affinis.png,[0.02565272]
8,bifarius2.png,affinis.png,[0.02661141]
9,bifarius3.png,affinis.png,[0.02606112]
10,bifarius4.png,affinis.png,[0.02798979]
11,bimaculatus.png,affinis.png,[0.01791693]
12,borealis1.png,affinis.png,[0.03940386]
13,borealis2.png,affinis.png,[0.02874716]
14,californicus1.png,affinis.png,[0.02664029]
15,californicus2.png,affinis.png,[0.02217739]
16,californicus3.png,affinis.png,[0.02820141]
17,caliginosus2.png,affinis.png,[0.03853629]
18,caliginosus.png,affinis.png,[0.03080822]
19,centralis.png,affinis.png,[0.02108178]
20,crotchii1.png,affinis.png,[0.02700869]
21,crotchii2.png,affinis.png,[0.01329851]
22,crotchii.png,affinis.png,[0.02341094]
23,fervidus.png,affinis.png,[0.02479461]
24,flavifrons1.png,affinis.png,[0.02299719]
25,flavifrons2.png,affinis.png,[0.02994726]
26,flavifrons3.png,affinis.png,[0.00953362]
27,flavifrons4.png,affinis.png,[0.01180412]
28,flavifrons5.png,affinis.png,[0.01542441]
29,flavifrons6.png,affinis.png,[0.01318418]
30,franklini.png,affinis.png,[0.0423467]
31,fraternus.png,affinis.png,[0.00784812]
32,frigidus.png,affinis.png,[0.02955723]
33,griseocollis.png,affinis.png,[0.01492899]
34,huntii.png,affinis.png,[0.02797014]
35,impatiens.png,affinis.png,[0.01600643]
36,melanopygus1.png,affinis.png,[0.03601727]
37,melanopygus2.png,affinis.png,[0.03145968]
38,melanopygus3.png,affinis.png,[0.02351726]
39,mixtus.png,affinis.png,[0.02294818]
40,morrisoni.png,affinis.png,[0.0301201]
41,nevadensis.png,affinis.png,[0.02402091]
42,occidentalis1.png,affinis.png,[0.0345819]
43,occidentalis2.png,affinis.png,[0.05153771]
44,occidentalis3.png,affinis.png,[0.04829217]
45,pennsylvanicus1.png,affinis.png,[0.01455716]
46,pennsylvanicus2.png,affinis.png,[0.01604721]
47,pennsylvanicus3.png,affinis.png,[0.01742366]
48,perplexus.png,affinis.png,[0.01928607]
49,rufocinctus1.png,affinis.png,[0.02030013]
50,rufocinctus2.png,affinis.png,[0.01285428]
51,rufocinctus3.png,affinis.png,[0.01296945]
52,rufocinctus4.png,affinis.png,[0.01186259]
53,sandersoni.png,affinis.png,[0.00767471]
54,sitkensis.png,affinis.png,[0.03397326]
55,sylvicola1.png,affinis.png,[0.03280816]
56,sylvicola2.png,affinis.png,[0.02511163]
57,sylvicola3.png,affinis.png,[0.02822687]
58,ternarius.png,affinis.png,[0.02153134]
59,terricola1.png,affinis.png,[0.01742366]
60,terricola2.png,affinis.png,[0.02280306]
61,vagans.png,affinis.png,[0.00775853]
62,vandykei.png,affinis.png,[0.0238713]
63,vosnesenskii.png,affinis.png,[0.0469134]
64,affinis.png,appositus.png,[0.03940386]
65,appositus.png,appositus.png,[0.]
66,auricomus1.png,appositus.png,[0.02804589]
67,auricomus.png,appositus.png,[0.03261715]
68,balteatus1.png,appositus.png,[0.01936167]
69,balteatus2.png,appositus.png,[0.02190584]
70,balteatus.png,appositus.png,[0.00746452]
71,bifarius1.png,appositus.png,[0.02299852]
72,bifarius2.png,appositus.png,[0.04179356]
73,bifarius3.png,appositus.png,[0.05390504]
74,bifarius4.png,appositus.png,[0.04905321]
75,bimaculatus.png,appositus.png,[0.05933932]
76,borealis1.png,appositus.png,[0.]
77,borealis2.png,appositus.png,[0.00829941]
78,californicus1.png,appositus.png,[0.03820835]
79,californicus2.png,appositus.png,[0.03943375]
80,californicus3.png,appositus.png,[0.06096574]
81,caliginosus2.png,appositus.png,[0.08205187]
82,caliginosus.png,appositus.png,[0.05797222]
83,centralis.png,appositus.png,[0.0135212]
84,crotchii1.png,appositus.png,[0.02899225]
85,crotchii2.png,appositus.png,[0.04194485]
86,crotchii.png,appositus.png,[0.0257021]
87,fervidus.png,appositus.png,[0.01136993]
88,flavifrons1.png,appositus.png,[0.03300542]
89,flavifrons2.png,appositus.png,[0.02156074]
90,flavifrons3.png,appositus.png,[0.04034908]
91,flavifrons4.png,appositus.png,[0.04940448]
92,flavifrons5.png,appositus.png,[0.03958518]
93,flavifrons6.png,appositus.png,[0.04761964]
94,franklini.png,appositus.png,[0.09392804]
95,fraternus.png,appositus.png,[0.03719353]
96,frigidus.png,appositus.png,[0.01735793]
97,griseocollis.png,appositus.png,[0.06489279]
98,huntii.png,appositus.png,[0.01808061]
99,impatiens.png,appositus.png,[0.05560347]
100,melanopygus1.png,appositus.png,[0.05039811]
101,melanopygus2.png,appositus.png,[0.02903455]
102,melanopygus3.png,appositus.png,[0.03592203]
103,mixtus.png,appositus.png,[0.03004961]
104,morrisoni.png,appositus.png,[0.03330369]
105,nevadensis.png,appositus.png,[0.03808102]
106,occidentalis1.png,appositus.png,[0.02271046]
107,occidentalis2.png,appositus.png,[0.08453614]
108,occidentalis3.png,appositus.png,[0.07416757]
109,pennsylvanicus1.png,appositus.png,[0.02417124]
110,pennsylvanicus2.png,appositus.png,[0.03660522]
111,pennsylvanicus3.png,appositus.png,[0.0380191]
112,perplexus.png,appositus.png,[0.04509538]
113,rufocinctus1.png,appositus.png,[0.01513653]
114,rufocinctus2.png,appositus.png,[0.03761199]
115,rufocinctus3.png,appositus.png,[0.03729774]
116,rufocinctus4.png,appositus.png,[0.02864067]
117,sandersoni.png,appositus.png,[0.03625272]
118,sitkensis.png,appositus.png,[0.0441005]
119,sylvicola1.png,appositus.png,[0.02177685]
120,sylvicola2.png,appositus.png,[0.04194549]
121,sylvicola3.png,appositus.png,[0.02515503]
122,ternarius.png,appositus.png,[0.02393085]
123,terricola1.png,appositus.png,[0.0380191]
124,terricola2.png,appositus.png,[0.02905432]
125,vagans.png,appositus.png,[0.0379592]
126,vandykei.png,appositus.png,[0.055108]
127,vosnesenskii.png,appositus.png,[0.08222213]
128,affinis.png,auricomus1.png,[0.01405618]
129,appositus.png,auricomus1.png,[0.02804589]
130,auricomus1.png,auricomus1.png,[0.]
131,auricomus.png,auricomus1.png,[0.00135119]
132,balteatus1.png,auricomus1.png,[0.03047802]
133,balteatus2.png,auricomus1.png,[0.01207135]
134,balteatus.png,auricomus1.png,[0.02562189]
135,bifarius1.png,auricomus1.png,[0.0219957]
136,bifarius2.png,auricomus1.png,[0.03399315]
137,bifarius3.png,auricomus1.png,[0.03958662]
138,bifarius4.png,auricomus1.png,[0.0367356]
139,bimaculatus.png,auricomus1.png,[0.02271872]
140,borealis1.png,auricomus1.png,[0.02804589]
141,borealis2.png,auricomus1.png,[0.01878783]
142,californicus1.png,auricomus1.png,[0.0212421]
143,californicus2.png,auricomus1.png,[0.02700562]
144,californicus3.png,auricomus1.png,[0.03680768]
145,caliginosus2.png,auricomus1.png,[0.05264394]
146,caliginosus.png,auricomus1.png,[0.03904876]
147,centralis.png,auricomus1.png,[0.01279455]
148,crotchii1.png,auricomus1.png,[0.02192252]
149,crotchii2.png,auricomus1.png,[0.01094954]
150,crotchii.png,auricomus1.png,[0.01805001]
151,fervidus.png,auricomus1.png,[0.01418485]
152,flavifrons1.png,auricomus1.png,[0.02419005]
153,flavifrons2.png,auricomus1.png,[0.03454827]
154,flavifrons3.png,auricomus1.png,[0.01664389]
155,flavifrons4.png,auricomus1.png,[0.02495244]
156,flavifrons5.png,auricomus1.png,[0.02227179]
157,flavifrons6.png,auricomus1.png,[0.02640948]
158,franklini.png,auricomus1.png,[0.0630523]
159,fraternus.png,auricomus1.png,[0.01364629]
160,frigidus.png,auricomus1.png,[0.02493756]
161,griseocollis.png,auricomus1.png,[0.02659503]
162,huntii.png,auricomus1.png,[0.02624542]
163,impatiens.png,auricomus1.png,[0.02169379]
164,melanopygus1.png,auricomus1.png,[0.04628367]
165,melanopygus2.png,auricomus1.png,[0.03517788]
166,melanopygus3.png,auricomus1.png,[0.03027425]
167,mixtus.png,auricomus1.png,[0.0302697]
168,morrisoni.png,auricomus1.png,[0.02684198]
169,nevadensis.png,auricomus1.png,[0.01833369]
170,occidentalis1.png,auricomus1.png,[0.02607192]
171,occidentalis2.png,auricomus1.png,[0.06681367]
172,occidentalis3.png,auricomus1.png,[0.06399554]
173,pennsylvanicus1.png,auricomus1.png,[0.00443245]
174,pennsylvanicus2.png,auricomus1.png,[0.00362438]
175,pennsylvanicus3.png,auricomus1.png,[0.00342422]
176,perplexus.png,auricomus1.png,[0.0207023]
177,rufocinctus1.png,auricomus1.png,[0.01310538]
178,rufocinctus2.png,auricomus1.png,[0.01162482]
179,rufocinctus3.png,auricomus1.png,[0.01359415]
180,rufocinctus4.png,auricomus1.png,[0.01067894]
181,sandersoni.png,auricomus1.png,[0.01392123]
182,sitkensis.png,auricomus1.png,[0.04131977]
183,sylvicola1.png,auricomus1.png,[0.03332661]
184,sylvicola2.png,auricomus1.png,[0.03201861]
185,sylvicola3.png,auricomus1.png,[0.03263436]
186,ternarius.png,auricomus1.png,[0.02088497]
187,terricola1.png,auricomus1.png,[0.00342422]
188,terricola2.png,auricomus1.png,[0.00824116]
189,vagans.png,auricomus1.png,[0.01494928]
190,vandykei.png,auricomus1.png,[0.02510657]
191,vosnesenskii.png,auricomus1.png,[0.0603674]
192,affinis.png,auricomus.png,[0.01548728]
193,appositus.png,auricomus.png,[0.03261715]
194,auricomus1.png,auricomus.png,[0.00135119]
195,auricomus.png,auricomus.png,[0.]
196,balteatus1.png,auricomus.png,[0.0336981]
197,balteatus2.png,auricomus.png,[0.01392271]
198,balteatus.png,auricomus.png,[0.02937719]
199,bifarius1.png,auricomus.png,[0.02447565]
200,bifarius2.png,auricomus.png,[0.03649903]
201,bifarius3.png,auricomus.png,[0.04147372]
202,bifarius4.png,auricomus.png,[0.03931702]
203,bimaculatus.png,auricomus.png,[0.0225221]
204,borealis1.png,auricomus.png,[0.03261715]
205,borealis2.png,auricomus.png,[0.02279191]
206,californicus1.png,auricomus.png,[0.02304729]
207,californicus2.png,auricomus.png,[0.0294999]
208,californicus3.png,auricomus.png,[0.03580104]
209,caliginosus2.png,auricomus.png,[0.05268455]
210,caliginosus.png,auricomus.png,[0.03896141]
211,centralis.png,auricomus.png,[0.01716003]
212,crotchii1.png,auricomus.png,[0.02189482]
213,crotchii2.png,auricomus.png,[0.01118844]
214,crotchii.png,auricomus.png,[0.01902317]
215,fervidus.png,auricomus.png,[0.0171478]
216,flavifrons1.png,auricomus.png,[0.02562857]
217,flavifrons2.png,auricomus.png,[0.03708164]
218,flavifrons3.png,auricomus.png,[0.0179666]
219,flavifrons4.png,auricomus.png,[0.02553051]
220,flavifrons5.png,auricomus.png,[0.02448155]
221,flavifrons6.png,auricomus.png,[0.02760472]
222,franklini.png,auricomus.png,[0.06153003]
223,fraternus.png,auricomus.png,[0.01487903]
224,frigidus.png,auricomus.png,[0.02758579]
225,griseocollis.png,auricomus.png,[0.02672401]
226,huntii.png,auricomus.png,[0.03111711]
227,impatiens.png,auricomus.png,[0.02184683]
228,melanopygus1.png,auricomus.png,[0.04903248]
229,melanopygus2.png,auricomus.png,[0.03922153]
230,melanopygus3.png,auricomus.png,[0.03198173]
231,mixtus.png,auricomus.png,[0.03148148]
232,morrisoni.png,auricomus.png,[0.02946277]
233,nevadensis.png,auricomus.png,[0.02082732]
234,occidentalis1.png,auricomus.png,[0.02581527]
235,occidentalis2.png,auricomus.png,[0.06685484]
236,occidentalis3.png,auricomus.png,[0.06562471]
237,pennsylvanicus1.png,auricomus.png,[0.0066171]
238,pennsylvanicus2.png,auricomus.png,[0.00379128]
239,pennsylvanicus3.png,auricomus.png,[0.00207226]
240,perplexus.png,auricomus.png,[0.02186469]
241,rufocinctus1.png,auricomus.png,[0.01651638]
242,rufocinctus2.png,auricomus.png,[0.01414766]
243,rufocinctus3.png,auricomus.png,[0.01480241]
244,rufocinctus4.png,auricomus.png,[0.01282723]
245,sandersoni.png,auricomus.png,[0.01528634]
246,sitkensis.png,auricomus.png,[0.042738]
247,sylvicola1.png,auricomus.png,[0.03811734]
248,sylvicola2.png,auricomus.png,[0.03581326]
249,sylvicola3.png,auricomus.png,[0.03629977]
250,ternarius.png,auricomus.png,[0.02424173]
251,terricola1.png,auricomus.png,[0.00207226]
252,terricola2.png,auricomus.png,[0.00703645]
253,vagans.png,auricomus.png,[0.01653447]
254,vandykei.png,auricomus.png,[0.02326235]
255,vosnesenskii.png,auricomus.png,[0.06009427]
256,affinis.png,balteatus1.png,[0.03240153]
257,appositus.png,balteatus1.png,[0.01936167]
258,auricomus1.png,balteatus1.png,[0.03047802]
259,auricomus.png,balteatus1.png,[0.0336981]
260,balteatus1.png,balteatus1.png,[0.]
261,balteatus2.png,balteatus1.png,[0.01679838]
262,balteatus.png,balteatus1.png,[0.01099151]
263,bifarius1.png,balteatus1.png,[0.0254054]
264,bifarius2.png,balteatus1.png,[0.03360903]
265,bifarius3.png,balteatus1.png,[0.04468874]
266,bifarius4.png,balteatus1.png,[0.04002835]
267,bimaculatus.png,balteatus1.png,[0.05962547]
268,borealis1.png,balteatus1.png,[0.01936167]
269,borealis2.png,balteatus1.png,[0.01822488]
270,californicus1.png,balteatus1.png,[0.03004216]
271,californicus2.png,balteatus1.png,[0.03216305]
272,californicus3.png,balteatus1.png,[0.05483333]
273,caliginosus2.png,balteatus1.png,[0.076959]
274,caliginosus.png,balteatus1.png,[0.05268647]
275,centralis.png,balteatus1.png,[0.02409153]
276,crotchii1.png,balteatus1.png,[0.02092342]
277,crotchii2.png,balteatus1.png,[0.03577184]
278,crotchii.png,balteatus1.png,[0.02025276]
279,fervidus.png,balteatus1.png,[0.02121759]
280,flavifrons1.png,balteatus1.png,[0.04371756]
281,flavifrons2.png,balteatus1.png,[0.02923914]
282,flavifrons3.png,balteatus1.png,[0.0379051]
