,img1,img2,distance
0,affinismale.png,affinismale.png,[0.]
1,appositusmale.png,affinismale.png,[0.06266193]
2,auricomusmale1.png,affinismale.png,[0.03566549]
3,auricomusmale2.png,affinismale.png,[0.03178759]
4,balteatusmale1.png,affinismale.png,[0.06143146]
5,balteatusmale2.png,affinismale.png,[0.02783681]
6,balteatusmale3.png,affinismale.png,[0.0269228]
7,bifariusmale1.png,affinismale.png,[0.04447435]
8,bifariusmale2.png,affinismale.png,[0.04324361]
9,bifariusmale3.png,affinismale.png,[0.0341148]
10,bifariusmale4.png,affinismale.png,[0.03179579]
11,bifariusmale5.png,affinismale.png,[0.04221503]
12,bimaculatusmale.png,affinismale.png,[0.01564292]
13,borealismale.png,affinismale.png,[0.05883043]
14,californicusmale1.png,affinismale.png,[0.03148102]
15,caliginosusmale.png,affinismale.png,[0.03132432]
16,centralismale1.png,affinismale.png,[0.06637464]
17,centralismale2.png,affinismale.png,[0.02358888]
18,crotchiimale1.png,affinismale.png,[0.05336205]
19,crotchiimale2.png,affinismale.png,[0.04431517]
20,crotchiimale3.png,affinismale.png,[0.0178773]
21,fervidusmale1.png,affinismale.png,[0.05441432]
22,flavifronsmale1.png,affinismale.png,[0.02337657]
23,flavifronsmale2.png,affinismale.png,[0.02535551]
24,flavifronsmale3.png,affinismale.png,[0.02553089]
25,flavifronsmale4.png,affinismale.png,[0.03196965]
26,franklinimale.png,affinismale.png,[0.04565582]
27,fraternusmale1.png,affinismale.png,[0.00504214]
28,fraternusmale2.png,affinismale.png,[0.01411042]
29,frigidusmale.png,affinismale.png,[0.04244367]
30,griseocollismale.png,affinismale.png,[0.01225114]
31,huntiimale.png,affinismale.png,[0.03371983]
32,impatiensmale.png,affinismale.png,[0.01508963]
33,melanopygusmale1.png,affinismale.png,[0.02987442]
34,melanopygusmale2.png,affinismale.png,[0.03254911]
35,melanopygusmale3.png,affinismale.png,[0.0255447]
36,melanopygusmale4.png,affinismale.png,[0.03517531]
37,melanopygusmale5.png,affinismale.png,[0.03376787]
38,mixtusmale.png,affinismale.png,[0.03255032]
39,morrisonimale.png,affinismale.png,[0.02722431]
40,nevadensismale.png,affinismale.png,[0.05362509]
41,occidentalismale.png,affinismale.png,[0.0610581]
42,pensylvanicusmale.png,affinismale.png,[0.07166396]
43,perplexusmale.png,affinismale.png,[0.00951553]
44,rufocinctusmale1.png,affinismale.png,[0.03749065]
45,rufocinctusmale2.png,affinismale.png,[0.03755554]
46,rufocinctusmale3.png,affinismale.png,[0.01666493]
47,sandersonimale.png,affinismale.png,[0.01472398]
48,sitkensismale1.png,affinismale.png,[0.06329573]
49,sitkensismale2.png,affinismale.png,[0.04970264]
50,sylvicolamale1.png,affinismale.png,[0.03853333]
51,sylvicolamale2.png,affinismale.png,[0.02456032]
52,sylvicolamale3.png,affinismale.png,[0.0344106]
53,ternariusmale.png,affinismale.png,[0.03013638]
54,terricolamale.png,affinismale.png,[0.02400691]
55,vagansmale.png,affinismale.png,[0.00542533]
56,vandykeimale.png,affinismale.png,[0.04262764]
57,vosnesenskiimale.png,affinismale.png,[0.03391479]
58,affinismale.png,appositusmale.png,[0.06266193]
59,appositusmale.png,appositusmale.png,[0.]
60,auricomusmale1.png,appositusmale.png,[0.04228497]
61,auricomusmale2.png,appositusmale.png,[0.03054233]
62,balteatusmale1.png,appositusmale.png,[0.03093186]
63,balteatusmale2.png,appositusmale.png,[0.04199429]
64,balteatusmale3.png,appositusmale.png,[0.04916188]
65,bifariusmale1.png,appositusmale.png,[0.0538576]
66,bifariusmale2.png,appositusmale.png,[0.03829249]
67,bifariusmale3.png,appositusmale.png,[0.05899106]
68,bifariusmale4.png,appositusmale.png,[0.03472392]
69,bifariusmale5.png,appositusmale.png,[0.04561545]
70,bimaculatusmale.png,appositusmale.png,[0.07651475]
71,borealismale.png,appositusmale.png,[0.00427297]
72,californicusmale1.png,appositusmale.png,[0.05237957]
73,caliginosusmale.png,appositusmale.png,[0.08286672]
74,centralismale1.png,appositusmale.png,[0.04754462]
75,centralismale2.png,appositusmale.png,[0.03230104]
76,crotchiimale1.png,appositusmale.png,[0.03649924]
77,crotchiimale2.png,appositusmale.png,[0.04566619]
78,crotchiimale3.png,appositusmale.png,[0.04820011]
79,fervidusmale1.png,appositusmale.png,[0.03565503]
80,flavifronsmale1.png,appositusmale.png,[0.04822826]
81,flavifronsmale2.png,appositusmale.png,[0.04345041]
82,flavifronsmale3.png,appositusmale.png,[0.04910082]
83,flavifronsmale4.png,appositusmale.png,[0.02947034]
